video,model,blur,occlusion_accuracy,pts_within_1,jaccard_1,pts_within_2,jaccard_2,pts_within_4,jaccard_4,pts_within_8,jaccard_8,pts_within_16,jaccard_16,average_jaccard,average_pts_within_thresh
0,CoWTracker,none,100.0,15.505617977528091,8.404384896467722,40.0,25.0,78.65168539325843,64.81481481481481,99.10112359550561,98.21826280623608,100.0,100.0,59.28749250350373,66.65168539325843
0,CoWTracker,medium,100.0,3.146067415730337,1.5981735159817352,24.269662921348313,13.810741687979538,72.80898876404494,57.243816254416956,99.7752808988764,99.55156950672645,100.0,100.0,54.44086019302093,60.0
0,CoWTracker,strong,100.0,1.5730337078651686,0.7927519818799547,11.235955056179774,5.952380952380952,38.651685393258425,23.955431754874652,77.97752808988764,63.90423572744015,100.0,100.0,38.920960083315144,45.88764044943821
1,CoWTracker,none,80.76079005120702,22.93103448275862,10.8130081300813,42.58620689655173,22.023276633840645,61.55172413793103,35.08424182358771,78.79310344827586,49.61580680570801,91.0344827586207,61.87648456057006,35.88256359075754,59.37931034482759
1,CoWTracker,medium,70.66569129480614,9.482758620689655,3.814147018030513,35.0,15.687789799072643,54.82758620689655,26.97201017811705,74.6551724137931,40.299906279287725,86.89655172413792,49.55044955044955,27.2648605649915,52.172413793103445
1,CoWTracker,strong,66.7885881492319,5.517241379310345,2.0969855832241153,18.275862068965516,7.152682255845942,50.86206896551724,22.58064516129032,70.0,34.194659776055126,84.6551724137931,44.795539033457246,22.164102361974553,45.862068965517246
2,CoWTracker,none,94.87951807228916,32.71276595744681,19.12908242612753,61.170212765957444,42.91044776119403,77.6595744680851,61.60337552742617,85.63829787234043,71.74887892376681,93.61702127659575,82.38095238095238,55.55454740389338,70.15957446808511
2,CoWTracker,medium,88.85542168674698,2.925531914893617,1.5130674002751032,9.308510638297872,4.978662873399715,25.79787234042553,14.953271028037381,46.27659574468085,29.929577464788732,69.68085106382979,52.164948453608254,20.707905444021833,30.79787234042553
2,CoWTracker,strong,68.97590361445783,0.0,0.0,0.0,0.0,0.0,0.0,1.8617021276595744,0.6944444444444444,7.9787234042553195,3.32541567695962,0.8039720242808129,1.9680851063829787
3,CoWTracker,none,88.35546475995915,22.75449101796407,11.987256073277578,58.68263473053892,38.249754178957716,82.78443113772454,63.20371445153802,95.35928143712576,79.56577266922095,97.75449101796407,82.24238496435515,55.04977646746989,71.46706586826348
3,CoWTracker,medium,84.8314606741573,28.967065868263475,15.250809061488674,61.67664670658682,39.520078354554364,83.98203592814372,61.599546228020415,93.937125748503,74.46417636252296,95.73353293413174,76.84667908131595,53.53625781758048,72.85928143712574
3,CoWTracker,strong,79.51991828396324,27.395209580838326,13.42769701606733,61.90119760479041,37.014787430683924,84.5059880239521,58.04904051172708,92.36526946107784,67.23068245910886,95.35928143712576,70.89337175792507,49.32311583510245,72.3053892215569
4,CoWTracker,none,91.44951140065146,74.95987158908507,50.94117647058823,83.30658105939006,60.77694235588973,88.60353130016051,67.7124183006536,95.50561797752809,77.70083102493075,98.5553772070626,82.50355618776672,67.9269848679658,88.18619582664526
4,CoWTracker,medium,90.39087947882736,73.19422150882825,48.46066134549601,79.29373996789727,55.18474374255066,87.64044943820225,65.43837357052097,93.57945425361156,73.6,96.30818619582665,77.62619372442019,64.06199447659758,86.0032102728732
4,CoWTracker,strong,88.59934853420195,70.62600321027287,44.88017429193899,72.55216693418942,46.799116997792495,73.51524879614767,47.77777777777778,85.23274478330659,60.822249093107615,95.02407704654897,73.62924281984334,54.781712196092045,79.39004815409311
5,CoWTracker,none,98.0720871751886,65.52631578947368,46.62921348314607,83.94736842105263,68.75,93.15789473684211,82.51748251748252,99.21052631578947,92.85714285714286,100.0,94.29280397022333,77.00932856559895,88.36842105263159
5,CoWTracker,medium,97.06621961441743,0.7894736842105263,0.38860103626943004,6.578947368421052,3.3333333333333335,66.3157894736842,47.338403041825096,90.26315789473685,76.9406392694064,95.78947368421052,84.96420047732697,42.593035431632245,51.94736842105263
5,CoWTracker,strong,83.23554065381391,0.7894736842105263,0.3314917127071823,2.1052631578947367,0.776914539400666,5.526315789473684,1.9079685746352413,14.473684210526317,5.70430733410943,66.84210526315789,35.3204172876304,8.808219889696584,17.94736842105263
6,CoWTracker,none,76.98019801980197,34.43223443223443,18.007662835249043,57.692307692307686,34.35114503816794,83.33333333333334,58.55855855855856,90.84249084249085,67.16417910447761,93.22344322344323,70.1657458563536,49.64945827856135,71.9047619047619
6,CoWTracker,medium,75.86633663366337,32.234432234432234,16.402609506057782,53.2967032967033,30.37578288100209,80.03663003663004,53.81773399014779,92.12454212454212,67.20214190093708,93.4065934065934,68.78378378378378,47.31641041238571,70.21978021978022
6,CoWTracker,strong,71.53465346534654,24.54212454212454,11.49228130360206,49.81684981684982,26.459143968871597,73.80952380952381,44.927536231884055,84.06593406593407,54.577883472057074,93.4065934065934,64.55696202531645,40.40276140034626,65.12820512820512
7,CoWTracker,none,92.57777777777778,35.99257884972171,20.70437566702241,53.61781076066791,34.21677215189873,68.52195423623995,48.23066841415466,80.51948051948052,61.957040572792366,90.84724799010513,75.98547717842324,48.21886679685828,65.89981447124303
7,CoWTracker,medium,89.64444444444445,32.09647495361781,17.613056783407004,51.94805194805194,32.02290076335878,67.59431045145331,45.949367088607595,80.27210884353741,59.76905311778291,93.87755102040816,77.84061696658098,46.638998943947456,65.15769944341373
7,CoWTracker,strong,85.2,11.008039579468152,5.415272284758138,28.13852813852814,15.11627906976744,47.49536178107607,28.42846553002224,73.77860235003092,51.70753064798599,93.75386518243661,74.82341069626641,35.098191645760046,50.83487940630798
8,CoWTracker,none,93.9538043478261,27.82846715328467,16.292735042735043,58.21167883211679,41.45549057829759,82.2080291970803,70.21110242376857,89.87226277372264,81.87134502923976,93.7956204379562,87.18830610490112,59.40379583578841,70.38321167883213
8,CoWTracker,medium,90.76086956521739,29.470802919708028,16.683937823834196,50.72992700729927,32.6266195524146,72.35401459854015,54.14099931553731,85.67518248175182,70.47691143073429,94.7992700729927,82.34817813765181,51.25532925203444,66.6058394160584
8,CoWTracker,strong,81.86141304347827,24.635036496350367,12.887828162291171,49.72627737226277,29.945054945054945,69.52554744525547,47.53587024329383,82.66423357664233,61.65413533834586,90.32846715328468,69.29133858267717,44.26284545433259,63.37591240875913
9,CoWTracker,none,78.35159102764736,5.854579792256846,2.8797027403622852,18.69688385269122,9.599208312716478,40.79320113314447,23.055555555555557,64.49480642115203,40.81373172282263,86.30783758262511,59.352517985611506,27.14014326341369,43.22946175637393
9,CoWTracker,medium,76.99530516431925,4.627006610009444,2.0536462699077953,13.408876298394713,6.192760575665067,30.878186968838527,15.512333965844402,54.48536355051936,30.213903743315505,80.64211520302172,50.308641975308646,20.85625730600828,36.80830972615675
9,CoWTracker,strong,67.70996348461136,2.7384324834749765,1.1894995898277276,6.8932955618508025,3.0492898913951545,19.452313503305003,9.062776304155614,36.54390934844193,18.094782192436572,56.2795089707271,30.598200105876128,12.39890961673824,24.381491973559967
10,CoWTracker,none,98.15,40.5015197568389,25.141509433962266,70.9726443768997,54.333915066899365,91.7933130699088,82.71349862258953,97.56838905775076,92.66521423384168,98.40425531914893,94.21669106881406,69.81416568522137,79.84802431610942
10,CoWTracker,medium,95.19999999999999,27.659574468085108,15.502555366269167,63.829787234042556,44.562899786780385,87.2340425531915,72.73885350318471,97.18844984802432,88.20263705759889,97.87234042553192,89.3854748603352,62.078484114833664,74.75683890577508
10,CoWTracker,strong,90.3,13.5258358662614,6.712433257055683,39.66565349544073,22.719298245614038,76.9756838905775,56.31284916201117,95.82066869300911,80.63266623628147,98.17629179331307,84.07894736842105,50.091238853876675,64.83282674772036
11,CoWTracker,none,88.40846366145354,25.353925353925355,14.18286537077034,59.45945945945946,40.97777777777778,85.97168597168597,71.2742980561555,96.65379665379665,84.63329452852155,99.48519948519949,85.2803738317757,59.269721913000176,73.38481338481337
11,CoWTracker,medium,87.76448942042319,21.879021879021877,12.031139419674451,57.01415701415702,38.2532751091703,82.88288288288288,65.5857740585774,93.69369369369369,80.91428571428571,96.26769626769627,84.4988344988345,56.25666176010847,70.34749034749035
11,CoWTracker,strong,88.50045998160073,6.177606177606178,3.0907920154539603,20.463320463320464,10.94941094941095,59.202059202059196,39.45993031358885,89.96138996138995,76.12761276127613,95.88159588159589,85.51564310544612,43.0286778290352,54.33719433719434
12,CoWTracker,none,99.51456310679612,68.72549019607843,52.157738095238095,97.54901960784314,94.76190476190476,100.0,99.51219512195122,100.0,99.51219512195122,100.0,99.51219512195122,89.0912456445993,93.2549019607843
12,CoWTracker,medium,99.32038834951456,58.82352941176471,41.4651002073255,93.03921568627452,86.42987249544628,100.0,99.31840311587146,100.0,99.31840311587146,100.0,99.31840311587146,85.17003641007724,90.37254901960785
12,CoWTracker,strong,99.02912621359224,28.52941176470588,16.54349061967027,82.25490196078431,69.28158546655656,99.90196078431373,98.8360814742968,100.0,99.02912621359224,100.0,99.02912621359224,76.54388199754162,82.1372549019608
13,CoWTracker,none,94.37952142459655,19.4375,10.47843665768194,45.9375,28.7396937573616,79.6875,63.13432835820896,96.25,87.47855917667239,99.0625,92.316715542522,56.429546698489375,68.075
13,CoWTracker,medium,89.64941569282136,19.4375,10.390912128299364,45.8125,28.06201550387597,81.3125,62.758620689655174,96.75,84.16945373467112,99.6875,88.8,54.836200411300325,68.6
13,CoWTracker,strong,89.37117417918753,9.375,4.452274183215888,29.375,15.597305919886564,70.75,49.79329352319706,93.25,78.8809654415798,97.1875,85.2840909090909,46.80158599539405,59.9875
14,CoWTracker,none,95.53072625698324,12.109795479009689,6.30428691510227,25.618945102260493,14.345991561181433,54.090419806243276,35.79098067287044,84.23035522066739,69.82990152193375,99.83853606027986,95.16460905349794,44.287153944917165,55.17761033369214
14,CoWTracker,medium,95.73387506348399,4.520990312163617,2.2641509433962264,15.231431646932187,8.060381657647394,41.01184068891281,25.008237232289947,74.65016146393972,57.42738589211618,96.01722282023681,88.474913065077,36.247013758105346,46.28632938643703
14,CoWTracker,strong,93.04215337734891,1.5069967707212055,0.7273706896551724,6.458557588805166,3.116381687810259,22.658772874058126,11.778774289985053,65.71582346609257,46.0546875,91.71151776103336,79.24256951102589,28.183956735695276,37.61033369214209
15,CoWTracker,none,99.60732984293193,28.666666666666668,16.69254658385093,59.06666666666667,41.79245283018868,71.06666666666666,54.948453608247426,88.26666666666667,78.71581450653984,97.2,94.18604651162791,57.26706280809096,68.85333333333334
15,CoWTracker,medium,99.60732984293193,32.53333333333333,19.38046068308181,59.06666666666667,41.79245283018868,72.13333333333334,56.237006237006234,90.8,82.84671532846716,100.0,99.60159362549801,59.97164574084838,70.90666666666667
15,CoWTracker,strong,98.95287958115183,11.600000000000001,6.139731827805223,33.33333333333333,19.936204146730464,53.333333333333336,36.231884057971016,82.93333333333334,70.13574660633483,98.93333333333332,96.8586387434555,45.8604410764594,56.02666666666666
16,CoWTracker,none,100.0,65.3061224489796,48.484848484848484,81.63265306122449,68.96551724137932,89.79591836734694,81.48148148148148,100.0,100.0,100.0,100.0,79.78636944154186,87.34693877551021
16,CoWTracker,medium,100.0,69.79591836734694,53.60501567398119,84.89795918367346,73.75886524822694,99.59183673469387,99.1869918699187,100.0,100.0,100.0,100.0,85.31017455842537,90.85714285714286
16,CoWTracker,strong,100.0,1.2244897959183674,0.6160164271047228,58.36734693877551,41.210374639769455,95.91836734693877,92.15686274509804,100.0,100.0,100.0,100.0,66.79665076239444,71.10204081632652
17,CoWTracker,none,90.57301293900186,18.7192118226601,9.6569250317662,48.52216748768473,29.57957957957958,78.81773399014779,58.93186003683242,94.08866995073892,79.41787941787942,100.0,88.8402625820569,53.285301329622904,68.0295566502463
17,CoWTracker,medium,93.71534195933457,3.201970443349754,1.56062424969988,12.561576354679804,6.415094339622642,43.103448275862064,26.08047690014903,84.97536945812809,68.8622754491018,99.75369458128078,91.83673469387756,38.95104112649018,48.7192118226601
17,CoWTracker,strong,87.43068391866913,1.7241379310344827,0.8018327605956471,6.65024630541872,3.1652989449003512,23.39901477832512,12.101910828025478,68.22660098522168,45.936981757877284,97.53694581280789,81.81818181818183,28.76484122191612,39.50738916256157
18,CoWTracker,none,82.05980066445183,18.618042226487525,9.362934362934363,42.89827255278311,24.505494505494504,74.4721689059501,50.86551264980027,97.69673704414588,75.93167701863354,99.42418426103646,77.86499215070644,47.70612213751383,66.62188099808061
18,CoWTracker,medium,77.74086378737542,10.748560460652591,4.970628106642567,25.335892514395393,12.712275594371663,50.19193857965452,27.918502202643168,82.24568138195777,53.536021150033044,92.7063339731286,65.33807829181495,32.89510106910108,52.24568138195777
18,CoWTracker,strong,72.55813953488372,6.046065259117082,2.76558384547849,13.723608445297506,6.505914467697907,27.83109404990403,14.139444173573867,48.65642994241843,26.60897782585181,73.70441458733205,44.417026526835286,18.88738936788747,33.99232245681382
