metric,model,blur,mean,std,ci95,n
average_jaccard,CoTracker3,medium,46.86,21.73,7.78,30.0
average_jaccard,CoTracker3,none,62.56,16.75,5.99,30.0
average_jaccard,CoTracker3,strong,25.95,19.64,7.03,30.0
average_jaccard,CoWTracker,medium,52.11,17.29,6.19,30.0
average_jaccard,CoWTracker,none,65.32,14.6,5.22,30.0
average_jaccard,CoWTracker,strong,35.25,18.25,6.53,30.0
average_jaccard,TapNext,medium,42.32,23.56,8.43,30.0
average_jaccard,TapNext,none,66.71,14.82,5.3,30.0
average_jaccard,TapNext,strong,19.22,16.3,5.83,30.0
occlusion_accuracy,CoTracker3,medium,80.38,16.15,5.78,30.0
occlusion_accuracy,CoTracker3,none,88.13,9.98,3.57,30.0
occlusion_accuracy,CoTracker3,strong,66.9,20.94,7.49,30.0
occlusion_accuracy,CoWTracker,medium,89.9,9.03,3.23,30.0
occlusion_accuracy,CoWTracker,none,92.11,7.3,2.61,30.0
occlusion_accuracy,CoWTracker,strong,85.61,11.26,4.03,30.0
occlusion_accuracy,TapNext,medium,77.26,19.98,7.15,30.0
occlusion_accuracy,TapNext,none,91.34,8.52,3.05,30.0
occlusion_accuracy,TapNext,strong,62.05,18.38,6.58,30.0
average_pts_within_thresh,CoTracker3,medium,63.6,17.4,6.23,30.0
average_pts_within_thresh,CoTracker3,none,77.19,12.48,4.47,30.0
average_pts_within_thresh,CoTracker3,strong,41.59,22.46,8.04,30.0
average_pts_within_thresh,CoWTracker,medium,65.82,15.9,5.69,30.0
average_pts_within_thresh,CoWTracker,none,78.78,10.55,3.78,30.0
average_pts_within_thresh,CoWTracker,strong,48.18,20.19,7.23,30.0
average_pts_within_thresh,TapNext,medium,57.31,22.02,7.88,30.0
average_pts_within_thresh,TapNext,none,79.56,10.66,3.82,30.0
average_pts_within_thresh,TapNext,strong,30.76,22.57,8.08,30.0
