video,model,blur,average_jaccard,average_pts_within_thresh,jaccard_1,jaccard_16,jaccard_2,jaccard_4,jaccard_8,occlusion_accuracy,pts_within_1,pts_within_16,pts_within_2,pts_within_4,pts_within_8
0,TapNext,none,66.4918269935709,76.89887640449437,17.687074829931973,94.3820224719101,46.61016949152542,79.83367983367984,93.94618834080718,94.3820224719101,29.8876404494382,100.0,63.146067415730336,91.68539325842696,99.7752808988764
0,TapNext,medium,9.036444515683499,26.69662921348315,0.3853564547206166,16.035634743875278,3.1683168316831685,11.087420042643924,14.505494505494507,17.078651685393258,0.8988764044943821,69.88764044943821,5.617977528089887,19.775280898876403,37.30337078651685
0,TapNext,strong,6.512090045086853,21.213483146067418,0.0,23.503325942350333,0.5415162454873645,2.0146520146520146,6.5009560229445515,25.168539325842698,0.22471910112359553,69.66292134831461,2.9213483146067416,8.314606741573034,24.9438202247191
1,TapNext,none,52.40053467668313,76.17241379310344,26.417004048583,72.51381215469614,39.55307262569833,54.96277915632754,68.55600539811067,86.90563277249451,45.51724137931035,97.93103448275862,62.41379310344828,80.6896551724138,94.3103448275862
1,TapNext,medium,49.43693827821989,68.10344827586206,19.3359375,77.61627906976744,34.433443344334435,47.94188861985472,67.85714285714286,88.73445501097294,34.13793103448276,94.82758620689656,54.137931034482754,70.0,87.41379310344828
1,TapNext,strong,34.44354079926403,55.655172413793096,7.097288676236045,64.18092909535453,16.782608695652172,33.764940239043824,50.391937290033596,82.22384784198977,15.344827586206897,91.37931034482759,33.793103448275865,59.310344827586206,78.44827586206897
2,TapNext,none,62.09261104303641,75.05319148936171,29.015544041450774,83.08823529411765,48.80478087649402,72.11981566820278,77.43467933491686,95.93373493975903,44.680851063829785,92.81914893617021,65.69148936170212,84.04255319148936,88.03191489361703
2,TapNext,medium,6.063128054935199,12.021276595744682,2.0080321285140563,13.140311804008908,3.2520325203252036,4.742268041237113,7.172995780590717,62.65060240963856,2.6595744680851063,29.78723404255319,4.521276595744681,7.712765957446808,15.425531914893616
2,TapNext,strong,0.5606874786762197,1.4361702127659577,0.0,2.2916666666666665,0.0,0.0,0.511770726714432,54.51807228915663,0.0,5.851063829787234,0.0,0.0,1.3297872340425532
3,TapNext,none,72.7356283069916,83.77245508982035,34.45247933884297,89.58485069191552,70.91267235718975,82.66666666666667,86.0614724803431,92.69662921348315,50.74850299401198,98.20359281437125,82.70958083832335,91.91616766467065,95.28443113772454
3,TapNext,medium,58.13008188020918,80.92814371257484,29.20196165849309,72.09026128266032,54.89043292357029,65.97938144329896,68.48837209302326,80.69458631256384,49.550898203592816,95.05988023952095,78.2934131736527,89.37125748502994,92.36526946107784
3,TapNext,strong,44.40717642576959,73.23353293413174,16.80851063829787,62.345983242976835,33.63083164300203,50.27372262773723,58.97683397683397,68.23289070480082,35.47904191616767,94.68562874251496,62.05089820359282,82.48502994011976,91.46706586826348
4,TapNext,none,76.06006896805798,94.89566613162118,63.125,83.02945301542776,72.39101717305152,80.0,81.75487465181058,90.14657980456026,84.75120385232745,100.0,92.45585874799357,98.07383627608347,99.19743178170144
4,TapNext,medium,43.5131140039956,73.54735152487962,40.71566731141199,45.937813440320966,42.92730844793713,43.20866141732284,44.776119402985074,80.04885993485343,69.82343499197432,76.40449438202246,73.03370786516854,73.35473515248796,75.12038523274478
4,TapNext,strong,37.89259074968708,73.25842696629213,35.858585858585855,40.10416666666667,37.361702127659576,37.47870528109029,38.659793814432994,67.91530944625407,70.46548956661316,76.24398073836277,72.55216693418942,72.71268057784911,74.31781701444623
5,TapNext,none,78.69319383916118,90.21052631578947,52.51937984496124,93.36609336609337,68.16239316239316,86.05200945626478,93.36609336609337,97.73679798826488,71.3157894736842,100.0,83.94736842105263,95.78947368421052,100.0
5,TapNext,medium,25.162560327290283,38.21052631578947,3.7249283667621778,59.82339955849889,8.545727136431784,15.286624203821656,38.4321223709369,90.77954735959766,7.368421052631578,81.57894736842105,16.05263157894737,27.89473684210526,58.15789473684211
5,TapNext,strong,8.924028955520816,12.736842105263158,1.5358361774744027,22.933884297520663,2.0583190394511153,6.25,11.842105263157894,83.4870075440067,2.368421052631579,32.10526315789474,3.1578947368421053,9.210526315789473,16.842105263157894
6,TapNext,none,65.2825693709467,77.72893772893772,30.893300248138956,81.27147766323024,54.465592972181554,78.51099830795262,81.27147766323024,88.24257425742574,45.604395604395606,94.68864468864469,69.04761904761905,87.17948717948718,92.12454212454212
6,TapNext,medium,55.66009455300458,74.21245421245422,23.809523809523807,75.51020408163265,43.886743886743886,62.02898550724638,73.06501547987617,80.6930693069307,39.56043956043956,94.87179487179486,63.55311355311355,81.31868131868131,91.75824175824175
6,TapNext,strong,41.86394990510844,58.49816849816849,16.507936507936506,67.83536585365853,27.430555555555557,41.15384615384615,56.39204545454546,78.5891089108911,28.57142857142857,84.61538461538461,43.772893772893774,60.43956043956044,75.0915750915751
7,TapNext,none,71.14332063809167,83.8961038961039,37.41289198606272,89.83152827918171,62.29423868312757,79.1595684270301,87.01837581505632,92.48888888888888,53.49412492269635,100.0,77.2418058132344,91.34199134199135,97.40259740259741
7,TapNext,medium,57.840981433087336,72.38095238095238,21.141479099678456,81.34777376654633,41.17096018735363,65.6043956043956,79.94029850746269,86.22222222222223,32.77674706246135,98.4539270253556,56.09152752009895,79.71552257266544,94.86703772418058
7,TapNext,strong,24.521618632884827,38.46629560915275,7.237141556668184,41.67167769092002,12.997601918465229,23.804519180241723,36.897152818128994,58.84444444444444,10.698824984539272,71.4904143475572,19.047619047619047,34.50834879406308,56.58627087198516
8,TapNext,none,70.23862084271147,80.23722627737226,26.27118644067797,88.43721770551039,65.55555555555556,82.66199649737302,88.26714801444044,91.30434782608695,39.78102189781022,98.54014598540147,76.73357664233576,89.50729927007299,96.62408759124088
8,TapNext,medium,46.10683357120228,69.7080291970803,17.134416543574595,59.343603482920294,42.02985074626866,54.58089668615984,57.44540039708802,74.25271739130434,32.57299270072993,85.94890510948905,66.24087591240875,80.1094890510949,83.66788321167883
8,TapNext,strong,37.9813493068939,60.328467153284684,8.660060318828092,57.72357723577236,26.226226226226224,43.7037037037037,53.593179049939096,75.27173913043478,18.33941605839416,85.21897810218978,47.81021897810219,69.98175182481752,80.2919708029197
9,TapNext,none,23.17654943587197,45.4957507082153,12.269446672012831,30.8411214953271,18.946474086661002,24.555160142348754,29.270544783010155,61.502347417840376,16.997167138810198,79.22568460812087,28.89518413597734,42.1152030217186,60.245514636449485
9,TapNext,medium,7.491452224357845,23.267233238904627,1.9417475728155338,13.513513513513514,4.132231404958678,7.051826677994902,10.817941952506596,53.36463223787168,3.0217186024551466,55.712936732766764,7.459867799811143,15.108593012275731,35.03305004721435
9,TapNext,strong,2.7358440000868076,6.9877242681775265,0.4702194357366771,6.390041493775933,1.024428684003152,1.988862370723946,3.8056680161943324,54.09494001043297,0.56657223796034,19.54674220963173,1.41643059490085,3.9660056657223794,9.442870632672333
10,TapNext,none,79.55375018179913,86.94528875379939,36.77922077922078,97.96992481203007,68.9987163029525,96.19970193740686,97.82118707738543,98.65,53.951367781155014,100.0,82.06686930091185,98.78419452887537,99.92401215805471
10,TapNext,medium,58.40888410177628,71.65653495440729,18.048557031607878,85.66282420749279,40.81967213114754,67.55526657997399,79.95810055865921,91.14999999999999,30.015197568389056,98.63221884498479,57.14285714285714,80.62310030395136,91.8693009118541
10,TapNext,strong,16.657896198976623,27.613981762917934,3.5743298131600327,36.14522156967432,9.067579127459368,13.991953509164059,20.51039697542533,64.7,6.68693009118541,57.82674772036474,16.185410334346503,23.93617021276596,33.43465045592705
11,TapNext,none,58.968098922875924,75.18661518661519,19.51951951951952,85.11627906976744,42.908438061041295,65.14522821576763,82.15102974828376,88.22447102115916,33.59073359073359,99.87129987129987,62.419562419562425,83.14028314028315,96.91119691119691
11,TapNext,medium,48.80792251309794,62.54826254826254,6.301939058171745,82.73809523809523,26.129827444535742,52.43296921549155,76.4367816091954,86.84452621895124,11.711711711711711,97.68339768339769,41.312741312741316,70.65637065637065,91.37709137709138
11,TapNext,strong,16.328337349218515,25.225225225225223,1.0380622837370241,40.655105973025044,3.1073446327683616,11.195734958111196,25.645438898450944,64.85740570377186,1.9305019305019304,59.45945945945946,5.662805662805663,18.91891891891892,40.15444015444015
12,TapNext,none,87.36748249400267,92.37254901960785,52.12527964205817,99.41348973607037,86.47166361974405,99.41348973607037,99.41348973607037,99.41747572815534,68.82352941176471,100.0,93.03921568627452,100.0,100.0
12,TapNext,medium,86.58305573764432,91.68627450980391,51.22131754256106,99.70674486803519,82.57372654155496,99.70674486803519,99.70674486803519,99.70873786407766,67.84313725490196,100.0,90.58823529411765,100.0,100.0
12,TapNext,strong,70.1633613418086,78.27450980392156,18.83460859329017,97.55381604696673,50.33507073715562,87.1177015755329,96.97560975609755,97.57281553398059,31.470588235294116,100.0,66.96078431372548,93.33333333333333,99.6078431372549
13,TapNext,none,62.4259833020798,74.22500000000001,14.164606146238079,93.41711549970077,39.130434782608695,74.51403887688986,90.90372120496161,93.87868670005565,25.624999999999996,100.0,58.5,88.375,98.625
13,TapNext,medium,53.88260744595905,68.10000000000001,12.352941176470589,89.10891089108911,30.192461908580594,55.95581171950048,81.80291153415453,90.15025041736226,22.5625,99.6875,48.25,75.125,94.875
13,TapNext,strong,26.116828432195184,36.025,1.054713249835201,63.43283582089553,4.713114754098361,19.439033891702376,41.94444444444444,78.8536449638286,2.0,79.3125,8.625,31.3125,58.875
